PatronBusqueda,MultiTienda,Descripcion,Precio,PrecioUF
tablet samsung,Ripley,"SAMSUNG GALAXY BOOK3 ULTRA / INTEL CORE I7 / 16GB RAM / 1TB SSD / 16"" WQXGA / NVIDIA GEFORCE RTX4050",2249990,62.35
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S6 LITE / 10.4"" / 64GB / WIFI / COVER / ROSADO",299990,8.31
tablet samsung,Ripley,"SAMSUNG GALAXY BOOK3 PRO 360 / INTEL CORE I7 / 16GB RAM / 512GB SSD / 16"" WQXGA TOUCH",1749990,48.5
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A8 / 10.5"" / 32GB / WIFI / COVER / GRIS",199990,5.54
tablet samsung,Ripley,"SAMSUNG GALAXY BOOK3 360 / INTEL CORE I7 / 8GB RAM / 512GB SSD / 15.6"" FHD TOUCH",1269990,35.19
tablet samsung,Ripley,"SAMSUNG GALAXY BOOK3 PRO / INTEL CORE I7 / 16GB RAM / 512GB SSD / 16"" WQXGA",1549990,42.95
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S8 ULTRA / 14.6"" / 256GB / WIFI / TECLADO + LÁPIZ / GRIS",1099990,30.48
tablet samsung,Ripley,"SAMSUNG GALAXY BOOK3 360 / INTEL CORE I7 / 8GB RAM / 512GB SSD / 13.3"" FHD TOUCH",1169990,32.42
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S6 LITE / 10.4"" / 64GB / WIFI / COVER / GRIS",299990,8.31
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S7 FE / 12.4"" / 64GB / WIFI / TECLADO + LÁPIZ / NEGRO",439990,12.19
tablet samsung,Ripley,SAMSUNG GALAXY TAB S8 PLUS 12.4'' + KEYBOARD COVER (128GB / 8GB RAM / WIFI / SILVER),829990,23.0
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A8 / 10.5"" / 64GB / WIFI / COVER / GRIS",229990,6.37
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S8 / 11"" / 256GB / WIFI / TECLADO + LÁPIZ / GRIS",729990,20.23
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A7 LITE / 8.7"" / 32GB / WIFI / GRIS",139990,3.88
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S7 FE / 12.4"" / 64GB / WIFI / TECLADO + LÁPIZ / COLOR PLATA",439990,12.19
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A7 LITE / 8.7"" / 32GB / WIFI / COLOR PLATA",139990,3.88
tablet samsung,Ripley,SAMSUNG GALAXY TAB A8 10.5'' + BOOK COVER (64GB / 4GB RAM / WIFI / PINK GOLD),229990,6.37
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A8 / 10.5"" / 32GB / WIFI + 4G / COVER / GRIS",229990,6.37
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A8 / 10.5"" / 64GB / WIFI / COVER / COLOR PLATA",229990,6.37
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A8 / 10.5"" / 32GB / WIFI / COVER / COLOR PLATA",199990,5.54
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A7 LITE / 8.7"" / 32GB / WIFI + 4G / COLOR PLATA",159990,4.43
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S7 FE / 12.4"" / 64GB / WIFI + 4G / TECLADO + LÁPIZ / NEGRO",539990,14.96
tablet samsung,Ripley,"SAMSUNG GALAXY TAB A7 LITE / 8.7"" / 64GB / WIFI / GRIS",159990,4.43
tablet samsung,Ripley,MONITOR SAMSUNG 22 FULL HD,119990,3.33
tablet samsung,Ripley,MONITOR SAMSUNG 24 PLANO,124990,3.46
impresora 3d,Ripley,IMPRESORA 3D CR-10 SMART PRO,749990,20.78
impresora 3d,Ripley,IMPRESORA 3D CR-5 PRO H,1099990,30.48
impresora 3d,Ripley,IMPRESORA 3D CR-6 MAX,669990,18.57
impresora 3d,Ripley,SCANNER 3D CR-SCAN 01,709990,19.68
impresora 3d,Ripley,IMPRESORA 3D ENDER 3 S1,409990,11.36
impresora 3d,Ripley,IMPRESORA 3D ENDER-3 V2,249990,6.93
impresora 3d,Ripley,IMPRESORA 3D ENDER-7,599990,16.63
impresora 3d,Ripley,IMPRESORA 3D HALOT-LITE,749990,20.78
impresora 3d,Ripley,IMPRESORA 3D HALOT-ONE,299990,8.31
impresora 3d,Ripley,IMPRESORA 3D HALOT-SKY,849990,23.56
impresora 3d,Ripley,ENDER 3 CREALITY | IMPRESORA 3D | ALTA PRECISIÓN,184990,5.13
impresora 3d,Ripley,HALOT-ONE CREALITY | IMPRESORA 3D | ALTA PRECISIÓN (RESINA),223990,6.21
